y,x_countMS,x_numMS,x_cumDurMS,x_medDurMS,x_meanDurMS,x_interDurMeanMS,x_interDurMedianMS,x_cumProbMS,x_probEntropyMS,id,train,model
1373,1,0.0436999271667881,3,3,3,0,0,0.0506723113053946,38.1146361940594,ZYFG,1,mU-Sleep
2400,1,0.025,3,3,3,0,0,0.0220850637415848,24.5257643046485,Zpwh,1,mU-Sleep
858,1,0.0699300699300699,4,4,4,0,0,0.0159582633704641,6.7010611351717,bkx9,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00615821545648942,2.61105150501172,cblr,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00411210063271331,1.64410584082122,d3ET,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00401365091173526,1.07197771774129,ddTG,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00526280776531469,2.43806541776561,f8H5,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00272890021482453,0.390735403561528,fNe4,1,mU-Sleep
1359,0,0,0,0,0,0,0,0.0155153079732995,9.37346926256225,fT68,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.0118365414956133,6.51688061162,go56,1,mU-Sleep
1160,0,0,0,0,0,0,0,0.0147174257743935,7.28050484420815,hT38,1,mU-Sleep
1539,0,0,0,0,0,0,0,0.0269591657332712,15.6507546032429,iSqw,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00187165576684492,0.240675266462033,ipxV,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00344674082862184,0.71388548587465,muls,1,mU-Sleep
379,0,0,0,0,0,0,0,0.00273342173072598,0.0534381771666644,oOMR,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00486611794682782,1.40743651787247,pPpj,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.00557686247693709,2.20550583968017,puoa,1,mU-Sleep
1426,0,0,0,0,0,0,0,0.0107940010272893,6.35487505768856,sNMf,1,mU-Sleep
165,0,0,0,0,0,0,0,0.0547368854732309,4.49752528660627,svlu,1,mU-Sleep
2400,1,0.025,5,5,5,0,0,0.0344550414870416,36.5160496881959,uXdB,1,mU-Sleep
1053,0,0,0,0,0,0,0,0.0178180981622231,6.49913405354258,y5We,1,mU-Sleep
609,4,0.394088669950739,20,5,5,42.3333333333333,40,0.0511631206605963,12.9294273763929,zaca,1,mU-Sleep
2400,0,0,0,0,0,0,0,0.0634070741820285,73.0030705859146,0pai,0,patU-Sleep
943,0,0,0,0,0,0,0,0.0783352790585484,38.6160905509429,3P0D,0,patU-Sleep
2400,0,0,0,0,0,0,0,0.0231756806120519,19.7401276444687,40kO,0,patU-Sleep
2400,1,0.025,4,4,4,0,0,0.0908147179550027,123.303283855401,6JVj,0,patU-Sleep
901,0,0,0,0,0,0,0,0.0240851866496818,6.871481256104,6iwd,0,patU-Sleep
590,4,0.406779661016949,13,3,3.25,12.3333333333333,9,0.186161900847259,71.1075985189021,BSvO,0,patU-Sleep
2400,0,0,0,0,0,0,0,0.0159426660731726,9.11754543036042,DSfb,0,patU-Sleep
2400,24,0.6,120,5,5,16.1304347826087,8,0.298883081705939,497.703314265217,EyTS,0,patU-Sleep
396,0,0,0,0,0,0,0,0.027539848171112,4.11191929277065,IhpU,0,patU-Sleep
2400,1,0.025,4,4,4,0,0,0.0544789279969622,66.2243119132823,Kn9O,0,patU-Sleep
388,0,0,0,0,0,0,0,0.0277968670797536,3.48402109186336,N1nM,0,patU-Sleep
1228,0,0,0,0,0,0,0,0.121987483577991,90.2519011294266,Otq3,0,patU-Sleep
2400,1,0.025,3,3,3,0,0,0.0825456342342938,101.238923918294,R2f3,0,patU-Sleep
435,0,0,0,0,0,0,0,0.048503175152537,9.16805960648171,Xg1l,0,patU-Sleep
2400,0,0,0,0,0,0,0,0.0243175503984155,22.1028138271077,Xii6,0,patU-Sleep
1734,0,0,0,0,0,0,0,0.0266989709389409,16.6651565136548,csxQ,0,patU-Sleep
2400,0,0,0,0,0,0,0,0.0138643506482058,9.38105541667753,hRMy,0,patU-Sleep
2400,0,0,0,0,0,0,0,0.0174519191064567,12.2990150723666,hcml,0,patU-Sleep
1323,12,0.54421768707483,86,5.5,7.16666666666667,7,6,0.103311116750837,76.1740771885483,ibbz,0,patU-Sleep
2400,28,0.7,150,4,5.35714285714286,57.962962962963,23,0.23773617313421,373.626852215746,kj2l,0,patU-Sleep
2400,2,0.05,7,3.5,3.5,8,8,0.076245218844554,89.8738864502075,mBks,0,patU-Sleep
2400,9,0.225,41,4,4.55555555555556,270,98.5,0.144512677385874,214.691517269716,mZje,0,patU-Sleep
728,0,0,0,0,0,0,0,0.0160298385032342,3.09026941235311,tG6i,0,patU-Sleep
2400,0,0,0,0,0,0,0,0.0683024307500986,84.2068852771539,0ncr,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0333036839836633,29.5893184815626,3J4W,1,patU-Sleep
449,0,0,0,0,0,0,0,0.0149750128297836,1.83230256222672,5bSg,1,patU-Sleep
