specificity,accuracy,fpMinutes,recall,precision,f1,optIdx,optThres,k,method,hz
0.965717880169838,0.918907543375579,2.18,0.531656548135299,0.652127659574468,0.585762064022933,NaN,NaN,1,predsArgmax,32
0.975233144779086,0.928083291290189,1.62,0.503669724770642,0.693181818181818,0.583421891604676,NaN,NaN,2,predsArgmax,32
0.882112772906997,0.874325123152709,9.14333333333333,0.788324632178453,0.377157129881926,0.510213484871756,NaN,NaN,3,predsArgmax,32
0.864100251578298,0.848606557377049,9.54333333333333,0.750675067506751,0.466356011183597,0.57530466773971,NaN,NaN,4,predsArgmax,32
0.905495037521181,0.878803963198868,6.50666666666667,0.596518177163338,0.373756817452679,0.45956607495069,NaN,NaN,5,predsArgmax,32
0.990983907322954,0.921012018893514,0.573333333333333,0.342150910667823,0.8210197710718,0.483011937557392,29,0.725,1,predsSum,32
0.993477042246344,0.932119433105536,0.426666666666667,0.379816513761468,0.866108786610879,0.528061224489796,29,0.725,2,predsSum,32
0.923629018394361,0.905221674876847,5.92333333333333,0.701945894636925,0.454238329238329,0.551556964385605,27,0.675,3,predsSum,32
0.916457018085157,0.880491803278688,5.86666666666667,0.653165316531653,0.552959105918212,0.598899587345255,28,0.7,4,predsSum,32
0.94475913822319,0.910695329087049,3.80333333333333,0.550435227854583,0.485108303249097,0.515711201727033,27,0.675,5,predsSum,32
0.983750065523929,0.918159285413646,1.03333333333333,0.375542064180399,0.736394557823129,0.497415278575531,18,0.45,1,predsMax,32
0.985221423839372,0.926569738109434,0.966666666666667,0.398623853211009,0.749784296807593,0.520515124288709,18,0.45,2,predsMax,32
0.920276774969916,0.903802955665025,6.18333333333333,0.7218794494542,0.45053317535545,0.554805763268284,17,0.425,3,predsMax,32
0.941852185883135,0.893114754098361,4.08333333333333,0.585058505850585,0.614173228346457,0.599262446220037,18,0.45,4,predsMax,32
0.937448559670782,0.900123849964614,4.30666666666667,0.505376344086022,0.433084686265906,0.466446124763705,17,0.425,5,predsMax,32
0.984326676102112,0.92017022868634,0.996666666666667,0.389418907198612,0.750208855472013,0.51270339708821,NaN,NaN,1,predsBinArgmax,32
0.98725984813739,0.928817135256616,0.833333333333333,0.402752293577982,0.778368794326241,0.530834340991536,NaN,NaN,2,predsBinArgmax,32
0.941636582430806,0.919251231527094,4.52666666666667,0.672045562411011,0.510454217736121,0.580208973570989,NaN,NaN,3,predsBinArgmax,32
0.930554896283287,0.889672131147541,4.87666666666667,0.631263126312631,0.589851415755537,0.609855072463768,NaN,NaN,4,predsBinArgmax,32
0.954490438150569,0.916799363057325,3.13333333333333,0.518177163338454,0.51844262295082,0.51830985915493,NaN,NaN,5,predsBinArgmax,32
0.991822613618493,0.919234906233924,0.52,0.318733738074588,0.824915824915825,0.459806068188927,28,0.7,1,predsBinSum,32
0.991438617948326,0.930651745172683,0.56,0.38348623853211,0.832669322709163,0.525125628140704,27,0.675,2,predsBinSum,32
0.905965274196321,0.891231527093596,7.29333333333333,0.728523967726626,0.412301907064196,0.526586620926244,25,0.625,3,predsBinSum,32
0.918070916599421,0.881147540983607,5.75333333333333,0.647764776477648,0.555727155727156,0.598226655583264,27,0.675,4,predsBinSum,32
0.943790849673203,0.909810686482661,3.87,0.550435227854583,0.480769230769231,0.513248985438052,26,0.65,5,predsBinSum,32
0.984903286680296,0.920310527054202,0.96,0.385949696444059,0.755517826825127,0.510907003444317,18,0.45,1,predsBinMax,32
0.987106966315038,0.928863000504518,0.843333333333333,0.404587155963303,0.777092511013216,0.532126696832579,18,0.45,2,predsBinMax,32
0.92130823448513,0.905418719211823,6.10333333333333,0.729947793070717,0.456515286435144,0.56172388604821,17,0.425,3,predsBinMax,32
0.910333697251626,0.879016393442623,6.29666666666667,0.681068106810681,0.54580427987497,0.605979711692472,17,0.425,4,predsBinMax,32
0.935899297990801,0.900212314225053,4.41333333333333,0.522785458269329,0.435394456289979,0.4751046998604,17,0.425,5,predsBinMax,32
0.972008177386381,0.922134405836412,1.78,0.509540329575022,0.687536571094207,0.585305105853051,NaN,NaN,1,predsArgmax,16
0.978494623655914,0.929092326744026,1.40666666666667,0.484403669724771,0.714479025710419,0.577364680153089,NaN,NaN,2,predsArgmax,16
0.902269210933471,0.889970443349754,7.58,0.754152823920266,0.411338338079213,0.532328308207705,NaN,NaN,3,predsArgmax,16
0.883514501352827,0.862049180327869,8.18,0.726372637263726,0.496615384615385,0.589912280701754,NaN,NaN,4,predsArgmax,16
0.924667150810942,0.893931351733899,5.18666666666667,0.568868407578085,0.416572928383952,0.480952380952381,NaN,NaN,5,predsArgmax,16
0.992084709335849,0.92021699480896,0.503333333333333,0.325672159583695,0.832594235033259,0.468204488778055,29,0.725,1,predsSum,16
0.99184630280793,0.932073567857634,0.533333333333333,0.394036697247706,0.842983316977429,0.537042825883088,28,0.7,2,predsSum,16
0.923843905793364,0.905694581280788,5.90666666666667,0.705268153773137,0.456108041743401,0.553960857409133,26,0.65,3,predsSum,16
